Month,DepDelay,ArrDelay,LateAircraftDelay,SecurityDelay,NASDelay,WeatherDelay,CarrierDelay,CancellationCode
April,8.20113275408,6.80729748109,18.6406780771,0.0625772495478,16.076132243,2.20027994008,15.7713167825,A
August,9.61475257451,6.91091468997,20.6706617641,0.0615366738324,17.1707406147,3.31094529428,17.6839833667,A
December,17.3043797805,16.6805050815,25.3732352191,0.0722277894063,17.2513949255,4.4350566568,15.4228062165,B
February,13.706226305,13.0778369978,22.3716789237,0.0727164500086,16.4662915955,3.48397626683,15.3503715509,B
January,11.4760959594,10.1888559603,21.1400538953,0.0867701116211,16.2773256634,2.88849314884,15.8322793955,C
July,11.8075447125,9.97504968128,21.8699892895,0.0937236701178,19.3933380935,3.96853980721,17.258814709,C
June,13.6098180796,13.2667560097,21.7986180446,0.064617070498,19.6451844637,3.48126141483,15.1118166322,D
March,12.4912694801,11.1923645802,21.2508292559,0.0960602401983,15.804365508,3.01637542098,16.0633856516,E
May,7.64274144091,5.97844829025,18.6825832875,0.0811731015767,16.6214724539,1.99801042239,14.3402011222,E
November,5.42046949804,2.01585796943,18.6173311198,0.0498889187276,18.6506188814,1.70213129562,13.6956495203,E
October,3.8034876868,0.415495470691,15.6316906294,0.0718881347171,14.9949535482,1.42949249833,15.5753635214,E
September,3.96181884952,0.697732878727,15.1219412782,0.0677873195688,16.5496212174,2.2070865367,17.1286736286,E
